Old Name,New Name,event_start_time_utc,Recording Start Time,Recording End Time,event_duration_seconds,low_frequency_hertz,high_frequency_hertz,common_name,species_name,other_tags
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,15:07:28,#REF!,#REF!,3.511,818.2617,2110.2539,106:Indian Peafowl,423:Pavo cristatus,749:indian_peafowl_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,15:18:57,#REF!,#REF!,1.623,4349.707,7579.6875,208:Variegated Fairy-wren,381:Malurus lamberti,969:variegated_fairy_wren_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,15:19:14,#REF!,#REF!,1.934,4780.3711,7450.4883,208:Variegated Fairy-wren,381:Malurus lamberti,969:variegated_fairy_wren_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,15:20:28,#REF!,#REF!,1.578,4651.1719,7881.1523,208:Variegated Fairy-wren,381:Malurus lamberti,969:variegated_fairy_wren_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,15:22:19,#REF!,#REF!,2.565,4263.5742,9819.1406,208:Variegated Fairy-wren,381:Malurus lamberti,969:variegated_fairy_wren_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,15:23:50,#REF!,#REF!,2.245,4565.0391,8699.4141,208:Variegated Fairy-wren,381:Malurus lamberti,969:variegated_fairy_wren_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,15:24:24,#REF!,#REF!,2.355,4349.707,8484.082,208:Variegated Fairy-wren,381:Malurus lamberti,969:variegated_fairy_wren_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,16:03:09,#REF!,#REF!,3.778,1076.6602,2067.1875,106:Indian Peafowl,423:Pavo cristatus,749:indian_peafowl_1
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,16:13:31,#REF!,#REF!,0.8,7751.9531,9302.3438,208:Variegated Fairy-wren,381:Malurus lamberti,971:variegated_fairy_wren_3
4c77b524-1857-4550-afaa-c0ebe5e3960a_20101012-140000Z,L1D1 12-10-2010,16:29:28,#REF!,#REF!,1.222,3574.5117,8010.3516,208:Variegated Fairy-wren,381:Malurus lamberti,969:variegated_fairy_wren_1
