suburb,postcode,pri_breed,pri_colour,de_sexed,yrmonth
NOBLE PARK,3174,Maltese X,White & Cream,Y,2003-05
NOBLE PARK,3174,Maltese X,White & Tan,Y,2001-08
DANDENONG SOUTH,3175,Staffordshire Bull Terrier,Black & Brindle,N,2006-09
DANDENONG SOUTH,3175,German Shepherd,Tri Coloured,Y,2013-04
DANDENONG NORTH,3175,Terrier X,Tri Coloured,Y,2000-03
DANDENONG NORTH,3175,Maltese X,White & Tan,Y,2007-10
DANDENONG NORTH,3175,Cocker Spaniel,Gold & White,Y,2012-02
DANDENONG NORTH,3175,Pug,Fawn,Y,2015-09
DANDENONG NORTH,3175,Jack Russell Terrier,Tri Coloured,N,2012-03
DANDENONG NORTH,3175,Golden Retriever,Gold,Y,2006-09
DANDENONG NORTH,3175,Jack Russell Terrier,Black & White,Y,2002-11
DANDENONG NORTH,3175,Jack Russell Terrier,Tri Coloured,Y,2004-06
DANDENONG NORTH,3175,Schnauzer,Salt & Pepper,N,2011-12
DANDENONG NORTH,3175,Schnauzer,Silver & Grey,Y,2003-03
DANDENONG NORTH,3175,Jack Russell Terrier X,Tri Coloured,Y,2002-07
DANDENONG NORTH,3175,Border Collie X,Black & White,N,2007-10
DANDENONG NORTH,3175,Corgi X,Tan & White,Y,2009-03
DANDENONG NORTH,3175,Jack Russell Terrier,Tan & White,Y,2008-07
DANDENONG NORTH,3175,Golden Retriever,Tan,Y,2005-05
DANDENONG NORTH,3175,Golden Retriever,Gold,N,2011-09
DANDENONG NORTH,3175,Labrador X,Chocolate,Y,2011-05
KEYSBOROUGH,3173,Toy Poodle,Apricot,Y,2011-07
NOBLE PARK,3174,Kelpie X,Brown,Y,2011-01
NOBLE PARK,3174,Maltese X,Tan,Y,2009-12
NOBLE PARK,3174,Maltese X,Tri Coloured,Y,2008-03
NOBLE PARK,3174,Jack Russell Terrier X,Tan & White,N,2012-07
NOBLE PARK,3174,Maltese X,White & Tan,Y,2015-09
NOBLE PARK,3174,Pomeranian,Black,Y,2010-05
